sex,workclass,education,marital.status,occupation,race,relationship,capital.gain,capital.loss,hours.per.week,age,income
 Male, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, White, Husband,0,0,13,50, <=50K
 Male, Private, HS-grad, Divorced, Handlers-cleaners, White, Not-in-family,0,0,40,38, <=50K
 Male, Private, 11th, Married-civ-spouse, Handlers-cleaners, Black, Husband,0,0,40,53, <=50K
 Female, Private, Bachelors, Married-civ-spouse, Prof-specialty, Black, Wife,0,0,40,28, <=50K
 Female, Private, Masters, Married-civ-spouse, Exec-managerial, White, Wife,0,0,40,37, <=50K
 Female, Private, 9th, Married-spouse-absent, Other-service, Black, Not-in-family,0,0,16,49, <=50K
 Male, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, White, Husband,0,0,45,52, >50K
 Female, Private, Masters, Never-married, Prof-specialty, White, Not-in-family,14084,0,50,31, >50K
 Male, Private, Bachelors, Married-civ-spouse, Exec-managerial, White, Husband,5178,0,40,42, >50K
 Male, Private, Some-college, Married-civ-spouse, Exec-managerial, Black, Husband,0,0,80,37, >50K
 Male, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Asian-Pac-Islander, Husband,0,0,40,30, >50K
 Female, Private, Bachelors, Never-married, Adm-clerical, White, Own-child,0,0,30,23, <=50K
 Male, Private, Assoc-acdm, Never-married, Sales, Black, Not-in-family,0,0,50,32, <=50K
 Male, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Asian-Pac-Islander, Husband,0,0,40,40, >50K
 Male, Private, 7th-8th, Married-civ-spouse, Transport-moving, Amer-Indian-Eskimo, Husband,0,0,45,34, <=50K
 Male, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, White, Own-child,0,0,35,25, <=50K
 Male, Private, HS-grad, Never-married, Machine-op-inspct, White, Unmarried,0,0,40,32, <=50K
 Male, Private, 11th, Married-civ-spouse, Sales, White, Husband,0,0,50,38, <=50K
 Female, Self-emp-not-inc, Masters, Divorced, Exec-managerial, White, Unmarried,0,0,45,43, >50K
 Male, Private, Doctorate, Married-civ-spouse, Prof-specialty, White, Husband,0,0,60,40, >50K
 Female, Private, HS-grad, Separated, Other-service, Black, Unmarried,0,0,20,54, <=50K
 Male, Federal-gov, 9th, Married-civ-spouse, Farming-fishing, Black, Husband,0,0,40,35, <=50K
 Male, Private, 11th, Married-civ-spouse, Transport-moving, White, Husband,0,2042,40,43, <=50K
 Female, Private, HS-grad, Divorced, Tech-support, White, Unmarried,0,0,40,59, <=50K
 Male, Local-gov, Bachelors, Married-civ-spouse, Tech-support, White, Husband,0,0,40,56, >50K
 Male, Private, HS-grad, Never-married, Craft-repair, White, Own-child,0,0,40,19, <=50K
 Male, Private, Some-college, Married-civ-spouse, Prof-specialty, Asian-Pac-Islander, Husband,0,0,60,54, >50K
 Male, Private, HS-grad, Divorced, Exec-managerial, White, Not-in-family,0,0,80,39, <=50K
 Male, Private, HS-grad, Married-civ-spouse, Craft-repair, White, Husband,0,0,40,49, <=50K
 Male, Local-gov, Assoc-acdm, Never-married, Protective-serv, White, Not-in-family,0,0,52,23, <=50K
 Male, Private, Some-college, Never-married, Sales, Black, Own-child,0,0,44,20, <=50K
 Male, Private, Bachelors, Divorced, Exec-managerial, White, Own-child,0,1408,40,45, <=50K
 Male, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, White, Own-child,0,0,40,30, <=50K
 Male, State-gov, Some-college, Married-civ-spouse, Other-service, Black, Husband,0,0,15,22, <=50K
 Male, Private, 11th, Never-married, Machine-op-inspct, White, Unmarried,0,0,40,48, <=50K
 Male, Private, Some-college, Never-married, Machine-op-inspct, White, Own-child,0,0,40,21, <=50K
 Female, Private, HS-grad, Married-AF-spouse, Adm-clerical, White, Wife,0,0,25,19, <=50K
 Male, Private, Some-college, Married-civ-spouse, Sales, White, Husband,0,0,38,31, >50K
 Male, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Prof-specialty, White, Husband,0,0,40,48, <=50K
 Male, Private, 9th, Married-civ-spouse, Machine-op-inspct, White, Husband,0,0,43,31, <=50K
 Male, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, White, Husband,0,0,40,53, <=50K
 Male, Private, Bachelors, Married-civ-spouse, Tech-support, White, Husband,0,0,50,24, <=50K
 Female, Private, HS-grad, Separated, Adm-clerical, White, Unmarried,0,0,40,49, <=50K
 Male, Private, HS-grad, Never-married, Handlers-cleaners, White, Not-in-family,0,0,35,25, <=50K
 Male, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Black, Husband,0,0,40,57, >50K
