iter	Passed	Remaining
0	152	30388
1	158	15647
2	164	10806
3	170	8375
4	175	6859
5	182	5889
6	187	5161
7	192	4622
8	198	4221
9	204	3889
10	210	3615
11	216	3392
12	221	3186
13	226	3015
14	233	2884
15	241	2776
16	247	2661
17	252	2551
18	257	2452
19	263	2369
20	268	2285
21	272	2208
22	278	2142
23	283	2081
24	289	2025
25	295	1978
26	302	1935
27	307	1886
28	312	1843
29	317	1801
30	323	1760
31	328	1726
32	334	1691
33	339	1655
34	344	1624
35	349	1592
36	354	1561
37	359	1533
38	364	1505
39	369	1477
40	374	1453
41	379	1428
42	384	1404
43	389	1381
44	394	1360
45	399	1337
46	404	1316
47	410	1299
48	415	1280
49	420	1261
50	426	1245
51	431	1228
52	436	1210
53	442	1195
54	447	1179
55	453	1164
56	459	1151
57	464	1137
58	469	1122
59	474	1108
60	479	1093
61	484	1079
62	490	1067
63	495	1053
64	500	1039
65	505	1026
66	510	1013
67	515	1000
68	520	988
69	526	977
70	531	966
71	537	955
72	542	944
73	547	932
74	552	921
75	558	910
76	563	899
77	568	889
78	573	879
79	579	868
80	584	858
81	589	848
82	593	836
83	598	826
84	603	817
85	608	807
86	613	797
87	619	788
88	624	779
89	629	769
90	634	760
91	640	751
92	645	742
93	650	733
94	655	725
95	660	715
96	665	706
97	671	698
98	676	689
99	681	681
100	686	673
101	691	664
102	696	655
103	701	647
104	706	639
105	711	630
106	716	623
107	722	615
108	727	607
109	733	600
110	738	592
111	743	584
112	749	576
113	754	568
114	758	560
115	764	553
116	769	545
117	774	537
118	778	530
119	784	522
120	789	515
121	794	507
122	799	500
123	805	493
124	810	486
125	815	478
126	821	472
127	826	464
128	831	457
129	836	450
130	841	443
131	847	436
132	852	429
133	857	422
134	862	415
135	867	408
136	872	401
137	877	394
138	883	387
139	888	380
140	893	373
141	898	367
142	903	360
143	908	353
144	914	346
145	919	340
146	924	333
147	929	326
148	935	320
149	939	313
150	945	306
151	950	300
152	955	293
153	960	286
154	965	280
155	970	273
156	976	267
157	981	260
158	986	254
159	991	247
160	997	241
161	1002	235
162	1007	228
163	1013	222
164	1018	216
165	1023	209
166	1029	203
167	1034	197
168	1039	190
169	1044	184
170	1050	178
171	1055	171
172	1060	165
173	1065	159
174	1070	152
175	1076	146
176	1081	140
177	1086	134
178	1091	128
179	1096	121
180	1101	115
181	1106	109
182	1112	103
183	1117	97
184	1122	91
185	1128	84
186	1133	78
187	1138	72
188	1143	66
189	1148	60
190	1153	54
191	1158	48
192	1163	42
193	1168	36
194	1173	30
195	1178	24
196	1183	18
197	1189	12
198	1194	6
199	1199	0
